,desc_text_length,desc_unique_word_count,desc_lexical_diversity,desc_avg_word_length,rev_text_length,rev_unique_word_count,rev_lexical_diversity,rev_avg_word_length,cosine_similarity
com.logicappkids,0.7439516129032258,0.6666666666666666,0.2722994645912175,0.4130730506101616,0.3341433778857837,0.3918575063613231,0.2347099419700881,0.5314937815206258,0.1821360644524793
ai.chatbot.ask.chat.deep.seek.assistant.search.free,0.8971774193548387,0.7813620071684588,0.2417249148793545,0.0502785588339991,0.2624544349939246,0.3867684478371501,0.4861677530296164,0.3876122035326017,0.4518990438489111
com.magoosh.flashcards.gre,0.719758064516129,0.7491039426523297,0.4279507398891222,0.1835060847455891,0.1773997569866342,0.2595419847328244,0.4807794115135679,0.7827937122738287,0.4846119971061832
com.stimuler,0.7721774193548387,0.7455197132616488,0.3460554990201892,0.3669449454882114,0.3438639125151883,0.5267175572519084,0.5327674869659602,0.7603162453908725,0.5805055884945306
com.hellochinese,0.375,0.4480286738351254,0.6018367597314964,0.5232590724394006,0.3147023086269744,0.3918575063613231,0.2953499213332557,0.5837663132296838,0.6268505870390594
com.speechling.speechling,0.4858870967741935,0.5555555555555556,0.5434740697898592,0.4634125674752902,0.3669501822600243,0.5597964376590331,0.5272848621365702,0.825165093087775,0.4369791966383047
com.lin.duo.hd.french,0.9858870967741936,0.8745519713261649,0.2576327968701115,0.0894000145987976,0.3438639125151883,0.450381679389313,0.3483336002419972,0.7584013554162814,0.5145513307069699
org.ieltstutors.academicwordlist,0.5100806451612904,0.4982078853046595,0.3664626006234743,0.3196126484094317,0.2004860267314702,0.2849872773536895,0.4453077668726524,0.6893513347848814,0.5954032165360744
com.word.vocabulary.vocab,0.7258064516129032,0.6379928315412187,0.25446370268102,0.4651622394879933,0.3523693803159173,0.4274809160305344,0.2678876933364598,0.4591687534482096,0.5751171239047543
com.ai.skillium,0.252016129032258,0.3799283154121863,0.9264809975528374,0.304314209184378,0.1202916160388821,0.1628498727735369,0.3966721548670358,0.5211802797404199,0.090849931305314
